附件1：,,,
全国普通高等学校名单,,,
序号,学校名称,所在地,
458,辽宁中医药大学杏林学院,沈阳市,
459,辽宁何氏医学院,沈阳市,
460,沈阳科技学院,沈阳市,
461,大连东软信息学院,大连市,
462,辽宁财贸学院,葫芦岛市,
463,辽宁传媒学院,沈阳市,
464,营口理工学院,营口市,
465,朝阳师范高等专科学校,朝阳市,
466,抚顺师范高等专科学校,抚顺市,
467,锦州师范高等专科学校,锦州市,
468,营口职业技术学院,营口市,
469,铁岭师范高等专科学校,铁岭市,
470,大连职业技术学院,大连市,
471,辽宁农业职业技术学院,营口市,
472,抚顺职业技术学院,抚顺市,
473,辽阳职业技术学院,辽阳市,
474,阜新高等专科学校,阜新市,
475,辽宁省交通高等专科学校,沈阳市,
476,辽宁税务高等专科学校,大连市,
477,盘锦职业技术学院,盘锦市,
478,沈阳航空职业技术学院,沈阳市,
479,辽宁体育运动职业技术学院,沈阳市,
480,辽宁职业学院,铁岭市,
481,辽宁林业职业技术学院,沈阳市,
482,沈阳职业技术学院,沈阳市,
483,辽宁理工职业学院,锦州市,
484,大连商务职业学院,大连市,
485,辽宁金融职业学院,沈阳市,
486,辽宁轨道交通职业学院,沈阳市,
487,辽宁广告职业学院,沈阳市,
488,辽宁机电职业技术学院,丹东市,
489,辽宁经济职业技术学院,沈阳市,
490,辽宁石化职业技术学院,锦州市,
491,渤海船舶职业学院,葫芦岛市,
492,大连软件职业学院,大连市,
493,大连翻译职业学院,大连市,
494,辽宁商贸职业学院,沈阳市,
495,大连枫叶职业技术学院,大连市,
496,辽宁装备制造职业技术学院,沈阳市,
497,辽河石油职业技术学院,盘锦市,
498,辽宁地质工程职业学院,丹东市,
499,辽宁铁道职业技术学院,锦州市,
500,辽宁建筑职业学院,辽阳市,
501,大连航运职业技术学院,大连市,
502,大连装备制造职业技术学院,大连市,
503,大连汽车职业技术学院,大连市,
504,辽宁现代服务职业技术学院,沈阳市,
505,辽宁冶金职业技术学院,本溪市,
506,辽宁工程职业学院,铁岭市,
507,辽宁城市建设职业技术学院,沈阳市,
508,辽宁医药职业学院,沈阳市,
509,铁岭卫生职业学院,铁岭市,
510,沈阳北软信息职业技术学院,沈阳市,
511,辽宁政法职业学院,沈阳市,
512,辽宁民族师范高等专科学校,沈阳市,
513,辽宁轻工职业学院,大连市,
514,辽宁水利职业学院,沈阳市,
515,辽宁特殊教育师范高等专科学校,沈阳市,
吉林省（60所）,,,
516,吉林大学,长春市,
517,延边大学,延边朝鲜族自治州,
518,长春理工大学,长春市,
519,东北电力大学,吉林市,
520,长春工业大学,长春市,
521,吉林建筑大学,长春市,
522,吉林化工学院,吉林市,
523,吉林农业大学,长春市,
524,长春中医药大学,长春市,
525,东北师范大学,长春市,
526,北华大学,吉林市,
527,通化师范学院,通化市,
528,吉林师范大学,四平市,
529,吉林工程技术师范学院,长春市,
530,长春师范大学,长春市,
531,白城师范学院,白城市,
532,吉林财经大学,长春市,
533,吉林体育学院,长春市,
534,吉林艺术学院,长春市,
535,吉林华桥外国语学院,长春市,
536,吉林工商学院,长春市,
537,长春工程学院,长春市,
538,吉林农业科技学院,吉林市,
539,吉林警察学院,长春市,
540,长春大学,长春市,
541,长春光华学院,长春市,
542,长春工业大学人文信息学院,长春市,
543,长春理工大学光电信息学院,长春市,
544,长春财经学院,长春市,
545,吉林建筑大学城建学院,长春市,
546,长春建筑学院,长春市,
547,长春科技学院,长春市,
548,吉林动画学院,长春市,
